,loss
191,7.63381814956665
192,7.633391380310059
193,7.632689476013184
194,7.630945682525635
195,7.630227088928223
196,7.629176616668701
197,7.627842426300049
198,7.626791954040527
199,7.625267028808594
200,7.625161170959473
201,7.62396764755249
202,7.623330593109131
203,7.621932029724121
204,7.621014595031738
205,7.620355129241943
206,7.619701385498047
207,7.618767738342285
208,7.617690563201904
209,7.616319179534912
210,7.615971565246582
211,7.615862846374512
212,7.614218235015869
213,7.612985610961914
214,7.612464904785156
215,7.611522674560547
216,7.611722946166992
217,7.6106462478637695
218,7.609728813171387
219,7.6091694831848145
220,7.608892917633057
221,7.608118057250977
222,7.606446266174316
223,7.606827735900879
224,7.605868339538574
225,7.6054463386535645
226,7.603796482086182
227,7.6037774085998535
228,7.603364944458008
229,7.602203369140625
230,7.601799964904785
231,7.601422309875488
232,7.600480556488037
233,7.600564479827881
234,7.599679946899414
235,7.599160671234131
236,7.598301887512207
237,7.5977277755737305
238,7.596334457397461
239,7.596689701080322
240,7.595967769622803
241,7.59559440612793
242,7.595133304595947
243,7.595023155212402
244,7.593533039093018
245,7.593547821044922
246,7.592339515686035
247,7.5919718742370605
248,7.591792583465576
249,7.591671943664551
250,7.590627193450928
251,7.590280532836914
252,7.589852809906006
253,7.589477062225342
254,7.58922004699707
255,7.588386058807373
256,7.587982654571533
257,7.587364196777344
258,7.5874924659729
259,7.587008476257324
260,7.586646556854248
261,7.585654258728027
262,7.585165023803711
263,7.584653377532959
264,7.58407735824585
265,7.58378267288208
266,7.583092212677002
267,7.581907749176025
268,7.582190036773682
269,7.581297874450684
270,7.580636024475098
271,7.580822944641113
272,7.5801544189453125
273,7.580020904541016
274,7.578829765319824
275,7.578549385070801
276,7.578838348388672
277,7.57797384262085
278,7.577330112457275
279,7.576715469360352
280,7.5763983726501465
281,7.575895309448242
282,7.574916362762451
283,7.574841022491455
284,7.573761940002441
285,7.574611186981201
286,7.573267936706543
287,7.57260799407959
288,7.572361469268799
289,7.572094440460205
290,7.572076797485352
291,7.57116174697876
292,7.5707011222839355
293,7.5702667236328125
294,7.570059299468994
295,7.569182395935059
296,7.5684051513671875
297,7.568203449249268
298,7.5668158531188965
299,7.567022323608398
300,7.5665740966796875
301,7.566196441650391
302,7.565303802490234
303,7.565830707550049
304,7.564664363861084
305,7.564652919769287
306,7.563832759857178
307,7.5640153884887695
308,7.563525199890137
309,7.56337833404541
310,7.561914443969727
311,7.56196928024292
312,7.561540603637695
313,7.561062812805176
314,7.560380458831787
315,7.560598850250244
316,7.559999465942383
317,7.559382915496826
318,7.558703422546387
319,7.558906555175781
320,7.558903217315674
321,7.557281970977783
322,7.55772590637207
323,7.557353973388672
324,7.5580573081970215
325,7.556507587432861
326,7.556313991546631
327,7.5556159019470215
328,7.55511474609375
329,7.555810928344727
330,7.554422378540039
331,7.553207874298096
332,7.551936149597168
333,7.551724433898926
334,7.551263809204102
335,7.5498270988464355
336,7.5508832931518555
337,7.550381183624268
338,7.5489420890808105
339,7.548397064208984
340,7.548909664154053
341,7.547544479370117
342,7.547757148742676
343,7.547479629516602
344,7.546872138977051
345,7.546212196350098
346,7.545851707458496
347,7.545795917510986
348,7.545266628265381
349,7.544291019439697
350,7.544251918792725
351,7.544270038604736
352,7.543467998504639
353,7.544069290161133
354,7.542646408081055
355,7.542717933654785
356,7.542342662811279
357,7.542171478271484
358,7.541595935821533
359,7.541939735412598
360,7.540709495544434
361,7.540456771850586
362,7.540378093719482
363,7.539790153503418
364,7.539852142333984
365,7.539103984832764
366,7.5387725830078125
367,7.53842306137085
368,7.538057804107666
369,7.538203239440918
370,7.537642002105713
371,7.537147521972656
372,7.537288665771484
373,7.536409378051758
374,7.536354064941406
375,7.535900115966797
376,7.5356011390686035
377,7.5348968505859375
378,7.534885406494141
379,7.535297870635986
380,7.533988952636719
381,7.534171104431152
382,7.5333571434021
383,7.533336639404297
384,7.532590866088867
385,7.532660007476807
386,7.53251314163208
387,7.532046794891357
388,7.532021522521973
389,7.5316162109375
390,7.531322479248047
391,7.530224323272705
392,7.5310797691345215
393,7.53063440322876
394,7.530205726623535
395,7.529598236083984
396,7.529227256774902
397,7.529117584228516
398,7.528496265411377
399,7.529186725616455
400,7.528842449188232
401,7.527376651763916
402,7.52803897857666
403,7.528050422668457
404,7.526876449584961
405,7.526980400085449
406,7.527112007141113
407,7.526452541351318
408,7.5262227058410645
409,7.526067733764648
410,7.526253700256348
411,7.525804042816162
412,7.525476932525635
413,7.525737762451172
414,7.525703430175781
415,7.525357246398926
416,7.5241522789001465
417,7.52436637878418
418,7.524385929107666
419,7.52449893951416
420,7.52388858795166
421,7.523151397705078
422,7.5232977867126465
423,7.522818088531494
424,7.52284574508667
425,7.521454334259033
426,7.522668838500977
427,7.522243022918701
428,7.521764278411865
429,7.521034240722656
430,7.5214128494262695
431,7.520863056182861
432,7.520312309265137
433,7.521172046661377
434,7.520035743713379
