,loss
168,3.3082375526428223
169,3.307920217514038
170,3.3074960708618164
171,3.3071279525756836
172,3.306879758834839
173,3.306475877761841
174,3.306286573410034
175,3.305936574935913
176,3.3054423332214355
177,3.3052899837493896
178,3.3049569129943848
179,3.304628610610962
180,3.304333209991455
181,3.304051399230957
182,3.3038241863250732
183,3.303668260574341
184,3.3034934997558594
185,3.303072214126587
186,3.3030593395233154
187,3.3026926517486572
188,3.302482843399048
189,3.302375078201294
190,3.3021399974823
191,3.302011489868164
192,3.3017942905426025
193,3.3015732765197754
194,3.3013932704925537
195,3.3012664318084717
196,3.301124334335327
197,3.300936698913574
198,3.300851583480835
199,3.3007168769836426
200,3.300591468811035
201,3.3003621101379395
202,3.300231695175171
203,3.3001482486724854
204,3.3000524044036865
205,3.299849271774292
206,3.299766778945923
207,3.299678325653076
208,3.2995898723602295
209,3.2995107173919678
210,3.2994041442871094
211,3.2992849349975586
212,3.299166679382324
213,3.299055576324463
214,3.2989134788513184
215,3.298847198486328
216,3.298807144165039
217,3.298915147781372
218,3.2986040115356445
219,3.298555850982666
220,3.2984955310821533
221,3.298389434814453
222,3.2983133792877197
223,3.298309564590454
224,3.298304796218872
225,3.2981176376342773
226,3.298062562942505
227,3.29799747467041
228,3.2980167865753174
229,3.2979235649108887
230,3.2978601455688477
231,3.297797441482544
232,3.2979273796081543
233,3.297696828842163
234,3.2976436614990234
235,3.297544240951538
236,3.2975730895996094
237,3.297494411468506
238,3.297459840774536
239,3.297433614730835
240,3.2975451946258545
241,3.297327756881714
242,3.297285318374634
243,3.297304630279541
244,3.297217607498169
245,3.297211170196533
246,3.2971582412719727
247,3.2971322536468506
248,3.297071933746338
249,3.2970871925354004
250,3.297023057937622
251,3.2969932556152344
252,3.296980857849121
253,3.2969439029693604
254,3.2968945503234863
255,3.2968900203704834
256,3.296879529953003
257,3.296835422515869
258,3.2968056201934814
259,3.296764850616455
260,3.2967641353607178
261,3.296750545501709
262,3.29667592048645
263,3.2967166900634766
264,3.296668529510498
265,3.296673536300659
266,3.296628713607788
267,3.296597719192505
268,3.296571969985962
269,3.2965891361236572
270,3.2965431213378906
271,3.296536922454834
272,3.2964913845062256
273,3.2964954376220703
274,3.296506643295288
275,3.29646635055542
276,3.296473741531372
277,3.296417713165283
278,3.2964165210723877
279,3.296532392501831
280,3.296391725540161
281,3.2963428497314453
282,3.296360731124878
283,3.296358823776245
284,3.2963621616363525
285,3.296313524246216
286,3.296313762664795
287,3.296337366104126
288,3.2963080406188965
289,3.2962958812713623
290,3.2962539196014404
291,3.2962894439697266
292,3.2962377071380615
293,3.296238899230957
294,3.296278476715088
295,3.2962238788604736
296,3.2962114810943604
297,3.296201229095459
298,3.2962050437927246
299,3.296171188354492
300,3.2961654663085938
301,3.296236753463745
302,3.2961411476135254
303,3.2961366176605225
304,3.296231985092163
305,3.2961552143096924
306,3.2961161136627197
307,3.2961254119873047
308,3.2961182594299316
309,3.2961220741271973
310,3.296092987060547
311,3.296096086502075
312,3.2961020469665527
313,3.296086311340332
314,3.2960875034332275
315,3.2960734367370605
316,3.296071767807007
317,3.29608416557312
318,3.2960598468780518
319,3.296041250228882
320,3.296053886413574
321,3.2960402965545654
322,3.296031951904297
323,3.296031951904297
324,3.296060562133789
325,3.29601788520813
326,3.296015739440918
327,3.2960245609283447
328,3.2960216999053955
329,3.2961366176605225
330,3.2959911823272705
331,3.2959883213043213
332,3.296004295349121
333,3.295987606048584
334,3.295992374420166
335,3.2959883213043213
336,3.295991897583008
337,3.2959868907928467
338,3.2959773540496826
339,3.2959864139556885
340,3.295969009399414
341,3.295969009399414
342,3.295971155166626
343,3.2960011959075928
344,3.295952558517456
345,3.2959487438201904
346,3.295947313308716
347,3.295954942703247
348,3.2959508895874023
349,3.295947551727295
350,3.2961483001708984
351,3.295957326889038
352,3.2959508895874023
353,3.295938491821289
354,3.29594087600708
355,3.2959365844726562
356,3.2959470748901367
357,3.295933961868286
358,3.295933723449707
359,3.2959296703338623
360,3.2959346771240234
361,3.2959249019622803
362,3.295931339263916
363,3.2959225177764893
364,3.295933961868286
365,3.295919418334961
366,3.2959365844726562
367,3.295912742614746
368,3.295914649963379
369,3.2959141731262207
370,3.2959117889404297
371,3.295926332473755
372,3.295910596847534
373,3.2959089279174805
374,3.295912742614746
375,3.295907974243164
376,3.2959606647491455
377,3.2959208488464355
378,3.2959132194519043
379,3.29590106010437
380,3.2959015369415283
381,3.29590106010437
382,3.2958991527557373
383,3.2959017753601074
384,3.29590106010437
385,3.295912027359009
386,3.2958948612213135
387,3.2962207794189453
388,3.2959141731262207
389,3.2958946228027344
390,3.2958922386169434
391,3.2958896160125732
392,3.2958905696868896
393,3.295917510986328
394,3.2958927154541016
395,3.2958908081054688
396,3.295888900756836
397,3.2958896160125732
398,3.295888662338257
399,3.2958920001983643
400,3.2958903312683105
401,3.295891761779785
402,3.295891761779785
403,3.295900583267212
404,3.2958860397338867
405,3.2958874702453613
406,3.2958898544311523
407,3.295886278152466
408,3.2958879470825195
409,3.2962489128112793
410,3.2958896160125732
411,3.2958829402923584
412,3.2958827018737793
413,3.2958812713623047
414,3.2958807945251465
415,3.2958810329437256
416,3.2958812713623047
417,3.2958807945251465
418,3.295880079269409
419,3.2958786487579346
420,3.2958807945251465
421,3.2959275245666504
422,3.2958803176879883
423,3.295877456665039
424,3.295879602432251
425,3.2958765029907227
426,3.2958779335021973
427,3.295877695083618
428,3.2958781719207764
